gameorder,game_id,lg_id,_iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes
31,194611170CLR,NBA,1,1947,11/17/1946,8,0,CHS,Stags,78,1321.4366,1328.0181,43.933949,CLR,Rebels,76,1314.2461,1307.6647,A,W,0.36952525,
32,194611180NYK,NBA,0,1947,11/18/1946,6,0,NYK,Knicks,61,1296.2185,1300.3541,41.037148,DTF,Falcons,57,1291.9098,1287.7742,H,W,0.64575911,
32,194611180NYK,NBA,1,1947,11/18/1946,7,0,DTF,Falcons,57,1291.9098,1287.7742,39.717983,NYK,Knicks,61,1296.2185,1300.3541,A,L,0.35424089,
33,194611180PIT,NBA,1,1947,11/18/1946,7,0,TRH,Huskies,48,1290.0051,1284.491,39.374023,PIT,Ironmen,54,1274.5563,1280.0704,A,L,0.38066763,
33,194611180PIT,NBA,0,1947,11/18/1946,7,0,PIT,Ironmen,54,1274.5563,1280.0704,38.911285,TRH,Huskies,48,1290.0051,1284.491,H,W,0.61933237,
34,194611190GSW,NBA,0,1947,11/19/1946,3,0,PHW,Warriors,63,1308.6625,1301.0356,41.108635,STB,Bombers,66,1315.3256,1322.9524,H,L,0.6311819,
34,194611190GSW,NBA,1,1947,11/19/1946,7,0,STB,Bombers,66,1315.3256,1322.9524,43.404839,PHW,Warriors,63,1308.6625,1301.0356,A,W,0.3688181,
35,194611190TRH,NBA,1,1947,11/19/1946,5,0,CLR,Rebels,74,1307.6647,1313.9331,42.460903,TRH,Huskies,72,1284.491,1278.2225,A,W,0.39120549,
35,194611190TRH,NBA,0,1947,11/19/1946,8,0,TRH,Huskies,72,1284.491,1278.2225,38.718002,CLR,Rebels,74,1307.6647,1313.9331,H,L,0.60879451,
36,194611200DTF,NBA,1,1947,11/20/1946,8,0,PIT,Ironmen,54,1280.0704,1285.8223,39.51347,DTF,Falcons,53,1287.7742,1282.0223,A,W,0.34978312,
36,194611200DTF,NBA,0,1947,11/20/1946,8,0,DTF,Falcons,53,1287.7742,1282.0223,39.115551,PIT,Ironmen,54,1280.0704,1285.8223,H,L,0.65021688,
37,194611200NYK,NBA,0,1947,11/20/1946,7,0,NYK,Knicks,72,1300.3541,1304.5542,41.477695,CHS,Stags,69,1328.0181,1323.818,H,W,0.60262144,
37,194611200NYK,NBA,1,1947,11/20/1946,9,0,CHS,Stags,69,1328.0181,1323.818,43.495312,NYK,Knicks,72,1300.3541,1304.5542,A,L,0.39737856,
38,194611200WSC,NBA,0,1947,11/20/1946,7,0,WSC,Capitols,54,1329.9454,1333.5576,44.511421,STB,Bombers,51,1322.9524,1319.3402,H,W,0.64928585,
38,194611200WSC,NBA,1,1947,11/20/1946,8,0,STB,Bombers,51,1322.9524,1319.3402,43.027046,WSC,Capitols,54,1329.9454,1333.5576,A,L,0.35071415,
39,194611210BOS,NBA,0,1947,11/21/1946,7,0,BOS,Celtics,53,1271.9004,1257.9297,36.603973,STB,Bombers,65,1319.3402,1333.3109,H,L,0.57506841,
39,194611210BOS,NBA,1,1947,11/21/1946,9,0,STB,Bombers,65,1319.3402,1333.3109,44.485733,BOS,Celtics,53,1271.9004,1257.9297,A,W,0.42493159,
40,194611210GSW,NBA,0,1947,11/21/1946,4,0,PHW,Warriors,63,1301.0356,1294.7595,40.450329,CHS,Stags,65,1323.818,1330.0941,H,L,0.60933089,
40,194611210GSW,NBA,1,1947,11/21/1946,10,0,CHS,Stags,65,1323.818,1330.0941,44.150517,PHW,Warriors,63,1301.0356,1294.7595,A,W,0.39066911,
41,194611210PRO,NBA,1,1947,11/21/1946,8,0,WSC,Capitols,66,1333.5576,1344.4468,45.642277,PRO,Steamrollers,58,1285.7937,1274.9045,A,W,0.42538756,
41,194611210PRO,NBA,0,1947,11/21/1946,8,0,PRO,Steamrollers,58,1285.7937,1274.9045,38.371208,WSC,Capitols,66,1333.5576,1344.4468,H,L,0.57461244,
42,194611220TRH,NBA,1,1947,11/22/1946,8,0,BOS,Celtics,82,1257.9297,1255.4705,36.349152,TRH,Huskies,83,1278.2225,1280.6818,A,L,0.33348578,
42,194611220TRH,NBA,0,1947,11/22/1946,9,0,TRH,Huskies,83,1278.2225,1280.6818,38.97525,BOS,Celtics,82,1257.9297,1255.4705,H,W,0.66651422,
43,194611230DTF,NBA,1,1947,11/23/1946,9,0,BOS,Celtics,46,1255.4705,1250.1028,35.794254,DTF,Falcons,54,1282.0223,1287.39,A,L,0.32552594,
43,194611230DTF,NBA,0,1947,11/23/1946,9,0,DTF,Falcons,54,1282.0223,1287.39,39.677727,BOS,Celtics,46,1255.4705,1250.1028,H,W,0.67447406,
44,194611230NYK,NBA,1,1947,11/23/1946,6,0,CLR,Rebels,76,1313.9331,1308.5621,41.897987,NYK,Knicks,82,1304.5542,1309.9252,A,L,0.37246484,
44,194611230NYK,NBA,0,1947,11/23/1946,8,0,NYK,Knicks,82,1304.5542,1309.9252,42.040882,CLR,Rebels,76,1313.9331,1308.5621,H,W,0.62753516,
45,194611230PRO,NBA,0,1947,11/23/1946,9,0,PRO,Steamrollers,59,1274.9045,1265.9526,37.437588,STB,Bombers,65,1333.3109,1342.2628,H,L,0.55957371,
45,194611230PRO,NBA,1,1947,11/23/1946,10,0,STB,Bombers,65,1333.3109,1342.2628,45.415985,PRO,Steamrollers,59,1274.9045,1265.9526,A,W,0.44042629,
46,194611230WSC,NBA,0,1947,11/23/1946,9,0,WSC,Capitols,74,1344.4468,1353.6788,46.595535,TRH,Huskies,50,1280.6818,1271.4497,H,W,0.71964616,
46,194611230WSC,NBA,1,1947,11/23/1946,10,0,TRH,Huskies,50,1280.6818,1271.4497,38.010517,WSC,Capitols,74,1344.4468,1353.6788,A,L,0.28035384,
47,194611240CHS,NBA,0,1947,11/24/1946,11,0,CHS,Stags,55,1330.0941,1310.8802,42.140995,DTF,Falcons,68,1287.39,1306.6039,H,L,0.69454849,
47,194611240CHS,NBA,1,1947,11/24/1946,10,0,DTF,Falcons,68,1287.39,1306.6039,41.692654,CHS,Stags,55,1330.0941,1310.8802,A,W,0.30545151,
48,194611240CLR,NBA,1,1947,11/24/1946,9,0,PIT,Ironmen,60,1285.8223,1282.9152,39.209019,CLR,Rebels,62,1308.5621,1311.4692,A,L,0.33036214,
48,194611240CLR,NBA,0,1947,11/24/1946,7,0,CLR,Rebels,62,1308.5621,1311.4692,42.202728,PIT,Ironmen,60,1285.8223,1282.9152,H,W,0.66963786,
49,194611250BOS,NBA,1,1947,11/25/1946,10,0,PRO,Steamrollers,71,1265.9526,1281.3928,39.049664,BOS,Celtics,59,1250.1028,1234.6626,A,W,0.381212,
49,194611250BOS,NBA,0,1947,11/25/1946,10,0,BOS,Celtics,59,1250.1028,1234.6626,34.20953,PRO,Steamrollers,71,1265.9526,1281.3928,H,L,0.618788,
50,194611250PIT,NBA,1,1947,11/25/1946,9,0,NYK,Knicks,62,1309.9252,1327.9469,43.926521,PIT,Ironmen,46,1282.9152,1264.8934,A,W,0.39647746,
50,194611250PIT,NBA,0,1947,11/25/1946,10,0,PIT,Ironmen,46,1282.9152,1264.8934,37.327347,NYK,Knicks,62,1309.9252,1327.9469,H,L,0.60352254,
51,194611260DTF,NBA,0,1947,11/26/1946,11,0,DTF,Falcons,66,1306.6039,1317.7588,42.861538,CLR,Rebels,46,1311.4692,1300.3143,H,W,0.63358766,
51,194611260DTF,NBA,1,1947,11/26/1946,8,0,CLR,Rebels,46,1311.4692,1300.3143,41.03297,DTF,Falcons,66,1306.6039,1317.7588,A,L,0.36641234,
52,194611260GSW,NBA,0,1947,11/26/1946,5,0,PHW,Warriors,66,1294.7595,1300.6316,41.06625,BOS,Celtics,54,1234.6626,1228.7905,H,W,0.71536636,
52,194611260GSW,NBA,1,1947,11/26/1946,11,0,BOS,Celtics,54,1234.6626,1228.7905,33.612003,PHW,Warriors,66,1294.7595,1300.6316,A,L,0.28463364,
53,194611260TRH,NBA,0,1947,11/26/1946,11,0,TRH,Huskies,68,1271.4497,1260.3845,36.858685,WSC,Capitols,78,1353.6788,1364.744,H,L,0.52555209,
53,194611260TRH,NBA,1,1947,11/26/1946,10,0,WSC,Capitols,78,1353.6788,1364.744,47.729919,TRH,Huskies,68,1271.4497,1260.3845,A,W,0.47444791,
54,194611270NYK,NBA,1,1947,11/27/1946,11,0,STB,Bombers,60,1342.2628,1336.293,44.796066,NYK,Knicks,67,1327.9469,1333.9167,A,L,0.37913126,
54,194611270NYK,NBA,0,1947,11/27/1946,10,0,NYK,Knicks,67,1327.9469,1333.9167,44.548813,STB,Bombers,60,1342.2628,1336.293,H,W,0.62086874,
55,194611270PIT,NBA,1,1947,11/27/1946,9,0,CLR,Rebels,60,1300.3143,1296.5641,40.639599,PIT,Ironmen,62,1264.8934,1268.6437,A,L,0.4081189,
55,194611270PIT,NBA,0,1947,11/27/1946,11,0,PIT,Ironmen,62,1264.8934,1268.6437,37.717899,CLR,Rebels,60,1300.3143,1296.5641,H,W,0.5918811,
56,194611270WSC,NBA,0,1947,11/27/1946,11,0,WSC,Capitols,75,1364.744,1369.4651,48.210819,CHS,Stags,67,1310.8802,1306.1592,H,W,0.7080043,
56,194611270WSC,NBA,1,1947,11/27/1946,12,0,CHS,Stags,67,1310.8802,1306.1592,41.646015,WSC,Capitols,75,1364.744,1369.4651,A,L,0.2919957,
57,194611280BOS,NBA,1,1947,11/28/1946,12,0,PIT,Ironmen,55,1268.6437,1263.6439,37.197369,BOS,Celtics,59,1228.7905,1233.7903,A,L,0.41429621,
57,194611280BOS,NBA,0,1947,11/28/1946,12,0,BOS,Celtics,59,1228.7905,1233.7903,34.120571,PIT,Ironmen,55,1268.6437,1263.6439,H,W,0.58570379,
58,194611280CHS,NBA,1,1947,11/28/1946,12,0,STB,Bombers,75,1336.293,1343.3895,45.532764,CHS,Stags,72,1306.1592,1299.0626,A,W,0.40078813,
58,194611280CHS,NBA,0,1947,11/28/1946,13,0,CHS,Stags,72,1306.1592,1299.0626,40.901672,STB,Bombers,75,1336.293,1343.3895,H,L,0.59921187,
59,194611280GSW,NBA,0,1947,11/28/1946,6,0,PHW,Warriors,55,1300.6316,1284.4366,39.368336,DTF,Falcons,68,1317.7588,1333.9537,H,L,0.61705202,
59,194611280GSW,NBA,1,1947,11/28/1946,12,0,DTF,Falcons,68,1317.7588,1333.9537,44.552662,PHW,Warriors,55,1300.6316,1284.4366,A,W,0.38294798,
60,194611280PRO,NBA,0,1947,11/28/1946,11,0,PRO,Steamrollers,58,1281.3928,1275.6881,38.453075,NYK,Knicks,60,1333.9167,1339.6215,H,L,0.56790143,
60,194611280PRO,NBA,1,1947,11/28/1946,11,0,NYK,Knicks,60,1333.9167,1339.6215,45.141937,PRO,Steamrollers,58,1281.3928,1275.6881,A,W,0.43209857,
61,194611290TRH,NBA,0,1947,11/29/1946,12,0,TRH,Huskies,72,1260.3845,1243.6194,35.126602,CLR,Rebels,87,1296.5641,1313.3292,H,L,0.59082574,
61,194611290TRH,NBA,1,1947,11/29/1946,10,0,CLR,Rebels,87,1296.5641,1313.3292,42.397633,TRH,Huskies,72,1260.3845,1243.6194,A,W,0.40917426,
62,194611300NYK,NBA,0,1947,11/30/1946,12,0,NYK,Knicks,64,1339.6215,1342.8893,45.480927,PHW,Warriors,60,1284.4366,1281.1688,H,W,0.70957392,
62,194611300NYK,NBA,1,1947,11/30/1946,7,0,PHW,Warriors,60,1284.4366,1281.1688,39.026222,NYK,Knicks,64,1339.6215,1342.8893,A,L,0.29042608,
63,194611300PRO,NBA,1,1947,11/30/1946,13,0,TRH,Huskies,65,1243.6194,1236.2073,34.367218,PRO,Steamrollers,79,1275.6881,1283.1002,A,L,0.31859225,
63,194611300PRO,NBA,0,1947,11/30/1946,12,0,PRO,Steamrollers,79,1275.6881,1283.1002,39.228394,TRH,Huskies,65,1243.6194,1236.2073,H,W,0.68140775,
64,194611300STB,NBA,0,1947,11/30/1946,13,0,STB,Bombers,60,1343.3895,1346.9624,45.902576,DTF,Falcons,57,1333.9537,1330.3809,H,W,0.65248108,
64,194611300STB,NBA,1,1947,11/30/1946,13,0,DTF,Falcons,57,1333.9537,1330.3809,44.180416,STB,Bombers,60,1343.3895,1346.9624,A,L,0.34751892,
65,194611300WSC,NBA,0,1947,11/30/1946,12,0,WSC,Capitols,49,1369.4651,1373.3796,48.608025,PIT,Ironmen,40,1263.6439,1259.7294,H,W,0.76581007,
65,194611300WSC,NBA,1,1947,11/30/1946,13,0,PIT,Ironmen,40,1263.6439,1259.7294,36.790672,WSC,Capitols,49,1369.4651,1373.3796,A,L,0.23418993,
66,194612010CHS,NBA,1,1947,12/1/1946,13,0,BOS,Celtics,56,1233.7903,1228.6831,33.601101,CHS,Stags,66,1299.0626,1304.1698,A,L,0.27860653,
66,194612010CHS,NBA,0,1947,12/1/1946,14,0,CHS,Stags,66,1299.0626,1304.1698,41.437378,BOS,Celtics,56,1233.7903,1228.6831,H,W,0.72139347,
67,194612010CLR,NBA,1,1947,12/1/1946,14,0,DTF,Falcons,47,1330.3809,1326.9114,43.818432,CLR,Rebels,49,1313.3292,1316.7987,A,L,0.38284522,
67,194612010CLR,NBA,0,1947,12/1/1946,11,0,CLR,Rebels,49,1313.3292,1316.7987,42.761024,DTF,Falcons,47,1330.3809,1326.9114,H,W,0.61715478,
68,194612020PIT,NBA,0,1947,12/2/1946,14,0,PIT,Ironmen,44,1259.7294,1252.3871,36.030174,BOS,Celtics,46,1228.6831,1236.0254,H,L,0.68012863,
68,194612020PIT,NBA,1,1947,12/2/1946,14,0,BOS,Celtics,46,1228.6831,1236.0254,34.348637,PIT,Ironmen,44,1259.7294,1252.3871,A,W,0.31987137,
69,194612030GSW,NBA,1,1947,12/3/1946,13,0,PRO,Steamrollers,68,1283.1002,1276.9966,38.589825,PHW,Warriors,76,1281.1688,1287.2725,A,L,0.36250037,
69,194612030GSW,NBA,0,1947,12/3/1946,8,0,PHW,Warriors,76,1281.1688,1287.2725,39.665409,PRO,Steamrollers,68,1283.1002,1276.9966,H,W,0.63749963,
70,194612040NYK,NBA,1,1947,12/4/1946,15,0,DTF,Falcons,57,1326.9114,1319.3087,43.023754,NYK,Knicks,70,1342.8893,1350.4919,A,L,0.33902943,
70,194612040NYK,NBA,0,1947,12/4/1946,13,0,NYK,Knicks,70,1342.8893,1350.4919,46.267113,DTF,Falcons,57,1326.9114,1319.3087,H,W,0.66097057,
71,194612040PIT,NBA,1,1947,12/4/1946,15,0,CHS,Stags,57,1304.1698,1317.2023,42.803276,PIT,Ironmen,46,1252.3871,1239.3546,A,W,0.43105185,
71,194612040PIT,NBA,0,1947,12/4/1946,15,0,PIT,Ironmen,46,1252.3871,1239.3546,34.689129,CHS,Stags,57,1304.1698,1317.2023,H,L,0.56894815,
72,194612040WSC,NBA,0,1947,12/4/1946,13,0,WSC,Capitols,80,1373.3796,1379.8049,49.256763,PRO,Steamrollers,62,1276.9966,1270.5713,H,W,0.75592595,
72,194612040WSC,NBA,1,1947,12/4/1946,14,0,PRO,Steamrollers,62,1276.9966,1270.5713,37.91888,WSC,Capitols,80,1373.3796,1379.8049,A,L,0.24407405,
73,194612050BOS,NBA,0,1947,12/5/1946,15,0,BOS,Celtics,61,1236.0254,1229.3071,33.664444,DTF,Falcons,65,1319.3087,1326.027,H,L,0.52403867,
73,194612050BOS,NBA,1,1947,12/5/1946,16,0,DTF,Falcons,65,1319.3087,1326.027,43.726086,BOS,Celtics,61,1236.0254,1229.3071,A,W,0.47596133,
74,194612050CHS,NBA,0,1947,12/5/1946,16,0,CHS,Stags,61,1317.2023,1306.269,41.657539,TRH,Huskies,65,1236.2073,1247.1405,H,L,0.73921472,
74,194612050CHS,NBA,1,1947,12/5/1946,14,0,TRH,Huskies,65,1236.2073,1247.1405,35.488831,CHS,Stags,61,1317.2023,1306.269,A,W,0.26078528,
75,194612050GSW,NBA,1,1947,12/5/1946,14,0,NYK,Knicks,51,1350.4919,1340.9235,45.277073,PHW,Warriors,62,1287.2725,1296.8409,A,L,0.44726545,
75,194612050GSW,NBA,0,1947,12/5/1946,9,0,PHW,Warriors,62,1287.2725,1296.8409,40.668636,NYK,Knicks,51,1350.4919,1340.9235,H,W,0.55273455,
76,194612050STB,NBA,1,1947,12/5/1946,16,0,PIT,Ironmen,55,1239.3546,1234.9664,34.240528,STB,Bombers,66,1346.9624,1351.3506,A,L,0.23235047,
76,194612050STB,NBA,0,1947,12/5/1946,14,0,STB,Bombers,66,1346.9624,1351.3506,46.355671,PIT,Ironmen,55,1239.3546,1234.9664,H,W,0.76764953,
